Longitude,Latitude,AsuLevel_1,RSSI_1,AsuLevel_2,RSSI_2,AsuLevel_3,RSSI_3,AsuLevel_4,RSSI_4,AsuLevel_5,RSSI_5,AsuLevel_6,RSSI_6,AsuLevel_7,RSSI_7,MRTime,IMSI,Position,latitude_1,longitude_1,latitude_2,longitude_2,latitude_3,longitude_3,latitude_4,longitude_4,latitude_5,longitude_5,latitude_6,longitude_6,latitude_7,longitude_7
121.21046270000001,31.28259424,11,-91,15,-83,19.0,-75.0,12.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,1509264789369.0,460011670515939.06,69,31.289402000000003,121.208105,31.289402000000003,121.208105,31.289647,121.208284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.21046270000001,31.28259424,11,-91,15,-83,19.0,-75.0,13.0,-87.0,12.0,-89.0,0.0,0.0,0.0,0.0,1509264790436.0,460011670515939.06,69,31.289402000000003,121.208105,31.289402000000003,121.208105,31.289647,121.208284,31.288649,121.211928,0.0,0.0,0.0,0.0,0.0,0.0
121.21056429999999,31.28253585,11,-91,15,-83,19.0,-75.0,13.0,-87.0,12.0,-89.0,0.0,0.0,0.0,0.0,1509264791506.0,460011670515939.06,60,31.289402000000003,121.208105,31.289402000000003,121.208105,31.289647,121.208284,31.288649,121.211928,0.0,0.0,0.0,0.0,0.0,0.0
121.21056429999999,31.28253585,11,-91,14,-85,19.0,-75.0,13.0,-87.0,12.0,-89.0,0.0,0.0,0.0,0.0,1509264792593.0,460011670515939.06,60,31.289402000000003,121.208105,31.289402000000003,121.208105,31.289647,121.208284,31.288649,121.211928,0.0,0.0,0.0,0.0,0.0,0.0
121.21065719999999,31.282463,11,-91,14,-85,19.0,-75.0,13.0,-87.0,12.0,-89.0,0.0,0.0,0.0,0.0,1509264793658.0,460011670515939.06,48,31.289402000000003,121.208105,31.289402000000003,121.208105,31.289647,121.208284,31.288649,121.211928,0.0,0.0,0.0,0.0,0.0,0.0
121.21065719999999,31.282463,18,-77,13,-87,12.0,-89.0,11.0,-91.0,12.0,-89.0,0.0,0.0,0.0,0.0,1509264794730.0,460011670515939.06,48,31.289647,121.208284,31.288649,121.211928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.2107368,31.28240378,18,-77,13,-87,12.0,-89.0,11.0,-91.0,12.0,-89.0,0.0,0.0,0.0,0.0,1509264795813.0,460011670515939.06,39,31.289647,121.208284,31.288649,121.211928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.2107368,31.28240378,20,-73,13,-87,12.0,-89.0,12.0,-89.0,12.0,-89.0,12.0,-89.0,0.0,0.0,1509264796890.0,460011670515939.06,39,31.289647,121.208284,31.288649,121.211928,0.0,0.0,0.0,0.0,31.287846000000002,121.191709,0.0,0.0,0.0,0.0
121.21091489999999,31.28231145,20,-73,13,-87,12.0,-89.0,12.0,-89.0,12.0,-89.0,12.0,-89.0,0.0,0.0,1509264797708.0,460011670515939.06,24,31.289647,121.208284,31.288649,121.211928,0.0,0.0,0.0,0.0,31.287846000000002,121.191709,0.0,0.0,0.0,0.0
121.21091489999999,31.28231145,22,-69,14,-85,12.0,-89.0,13.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,1509264798799.0,460011670515939.06,24,31.289647,121.208284,31.288649,121.211928,0.0,0.0,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0
