b,b_count_all,b_count_2,b_count_3,b_count_4,b_amount_all,b_amount_2,b_amount_3,b_amount_4
14001.0,2.0700000000000003,2.0700000000000003,0.0,0.0,61.71000000000001,61.71000000000001,0.0,0.0
14002.0,4.0,0.0,4.0,0.0,53.0,0.0,53.0,0.0
14005.0,10.0,2.0,5.0,3.0,61.5,7.0,23.0,31.5
14008.0,27.0,7.0,14.0,6.0,39.0,10.0,21.0,8.0
14010.0,4.0,2.0,0.0,2.0,17.0,7.0,0.0,10.0
14016.0,4.0,0.0,1.0,3.0,83.3,0.0,39.8,43.5
14019.0,2.0,2.0,0.0,0.0,8.0,8.0,0.0,0.0
14020.0,4.0,2.0,2.0,0.0,26.8,15.8,11.0,0.0
14022.0,2.0,0.0,2.0,0.0,21.6,0.0,21.6,0.0
14024.0,3.0,1.0,1.0,1.0,24.9,12.9,6.0,6.0
14031.0,5.0,1.0,3.0,1.0,24.79,2.7,19.39,2.7
14032.0,19.0,5.0,9.0,5.0,186.3,54.2,83.0,49.1
14033.0,6.0,2.0,4.0,0.0,24.9,7.2,17.700000000000003,0.0
14034.0,1.0,1.0,0.0,0.0,68.0,68.0,0.0,0.0
14035.0,7.0,1.0,6.0,0.0,74.8,19.9,54.9,0.0
14036.0,2.0,2.0,0.0,0.0,8.6,8.6,0.0,0.0
14038.0,3.0,2.0,1.0,0.0,13.799999999999999,9.2,4.6,0.0
14039.0,2.0,0.0,1.0,1.0,16.0,0.0,8.0,8.0
14041.0,3.342,1.342,0.0,2.0,42.7,28.3,0.0,14.399999999999999
14042.0,3.0,1.0,1.0,1.0,26.200000000000003,15.8,4.9,5.5
14043.0,8.0,3.0,4.0,1.0,100.0,39.1,51.0,9.9
14044.0,22.0,6.0,4.0,12.0,158.50000000000003,41.900000000000006,27.6,88.99999999999999
14045.0,2.368,1.3679999999999999,1.0,0.0,45.43,30.43,15.0,0.0
14049.0,1.0,0.0,1.0,0.0,9.8,0.0,9.8,0.0
14051.0,24.0,5.0,3.0,16.0,196.70000000000007,66.8,43.2,86.69999999999999
14067.0,14.0,4.0,7.0,3.0,164.50000000000003,57.4,77.69999999999999,29.400000000000002
14069.0,3.0,1.0,2.0,0.0,34.1,12.5,21.6,0.0
14070.0,3.0,2.0,0.0,1.0,93.69999999999999,66.8,0.0,26.9
14071.0,4.0,1.0,1.0,2.0,25.2,6.3,6.3,12.6
14079.0,15.0,5.0,5.0,5.0,122.10000000000001,41.3,45.0,35.8
14080.0,6.0,4.0,1.0,1.0,59.6,37.2,12.5,9.9
14082.0,29.0,7.0,7.0,15.0,172.70000000000005,40.5,42.3,89.9
14084.0,2.0,1.0,1.0,0.0,55.6,25.8,29.8,0.0
14088.0,2.0,1.0,0.0,1.0,13.4,6.5,0.0,6.9
14092.0,7.0,6.0,0.0,1.0,38.5,33.0,0.0,5.5
14097.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0
14098.0,39.0,10.0,16.0,13.0,350.87,93.80000000000001,130.28,126.79000000000002
14102.0,12.0,5.0,4.0,3.0,102.4,42.8,34.1,25.5
14104.0,19.0,7.0,2.0,10.0,198.69999999999996,72.4,20.299999999999997,105.99999999999999
14108.0,3.0,1.0,0.0,2.0,72.6,25.0,0.0,47.6
14110.0,8.0,3.0,3.0,2.0,38.4,14.399999999999999,14.399999999999999,9.6
14112.0,12.0,6.0,2.0,4.0,140.15,92.5,16.05,31.6
14116.0,2.0,1.0,0.0,1.0,12.399999999999999,6.8,0.0,5.6
14117.0,4.0,3.0,0.0,1.0,30.3,25.8,0.0,4.5
14118.0,2.0,1.0,0.0,1.0,7.8,3.9,0.0,3.9
14119.0,3.0,0.0,1.0,2.0,20.5,0.0,7.5,13.0
14121.0,6.0,3.0,2.0,1.0,703.2,320.70000000000005,252.60000000000002,129.9
14123.0,14.0,3.0,5.0,6.0,66.69999999999999,14.100000000000001,24.400000000000002,28.2
14126.0,12.0,5.0,5.0,2.0,75.89999999999999,20.8,27.5,27.6
14127.0,2.0,1.0,1.0,0.0,49.8,24.9,24.9,0.0
14129.0,2.0,2.0,0.0,0.0,76.0,76.0,0.0,0.0
14133.0,2.0,2.0,0.0,0.0,25.0,25.0,0.0,0.0
14134.0,0.574,0.574,0.0,0.0,17.91,17.91,0.0,0.0
14145.0,9.0,3.0,5.0,1.0,75.8,26.400000000000002,39.599999999999994,9.8
14146.0,4.0,1.0,1.0,2.0,20.1,4.1,8.9,7.1
14148.0,2.0,0.0,0.0,2.0,11.3,0.0,0.0,11.3
14149.0,7.0,2.0,3.0,2.0,64.6,15.100000000000001,29.700000000000003,19.8
14151.0,14.0,1.0,11.0,2.0,57.899999999999984,4.8,41.99999999999999,11.1
14152.0,6.0,3.0,1.0,2.0,84.0,44.5,11.5,28.0
14153.0,2.0,2.0,0.0,0.0,656.0,656.0,0.0,0.0
14156.0,2.0,0.0,0.0,2.0,21.6,0.0,0.0,21.6
14157.0,1.0,0.0,0.0,1.0,5.9,0.0,0.0,5.9
14159.0,2.0,2.0,0.0,0.0,13.2,13.2,0.0,0.0
14160.0,22.0,12.0,5.0,5.0,385.3499999999999,265.57000000000005,73.68,46.099999999999994
14162.0,2.0,1.0,0.0,1.0,13.7,6.9,0.0,6.8
14167.0,8.0,1.0,2.0,5.0,52.800000000000004,6.6,13.2,33.0
14168.0,9.0,4.0,1.0,4.0,96.9,40.199999999999996,9.9,46.8
14173.0,29.0,10.0,8.0,11.0,235.9,114.30000000000001,52.50000000000001,69.1
14177.0,76.0,30.0,24.0,22.0,561.5899999999999,207.10000000000002,194.49000000000004,160.0
14179.0,4.0,2.0,1.0,1.0,38.4,19.2,9.6,9.6
14189.0,8.0,1.0,5.0,2.0,53.2,5.7,32.5,15.0
14191.0,10.0,7.0,1.0,2.0,105.69999999999999,72.69999999999999,13.8,19.200000000000003
14196.0,37.0,11.0,4.0,22.0,196.8000000000001,74.50000000000001,28.6,93.69999999999999
14197.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0
14200.0,12.0,3.0,7.0,2.0,109.69999999999999,24.299999999999997,67.9,17.5
14203.0,1.0,0.0,1.0,0.0,6.8,0.0,6.8,0.0
14208.0,27.0,10.0,7.0,10.0,172.50000000000006,63.7,37.7,71.1
14210.0,4.0,2.0,1.0,1.0,60.2,31.6,12.8,15.8
14212.0,6.0,3.0,1.0,2.0,225.4,51.7,13.9,159.8
14213.0,12.0,1.0,4.0,7.0,33.0,1.8,13.8,17.4
14224.0,21.0,13.0,5.0,3.0,326.90000000000015,212.80000000000007,74.0,40.1
14225.0,17.0,5.0,5.0,7.0,169.79999999999995,86.4,51.8,31.6
14229.0,4.0,3.0,0.0,1.0,37.4,22.799999999999997,0.0,14.6
14230.0,16.0,14.0,0.0,2.0,20.2,17.7,0.0,2.5
14231.0,15.0,1.0,8.0,6.0,184.50000000000006,9.9,95.20000000000002,79.4
14233.0,5.0,3.0,1.0,1.0,24.599999999999998,16.2,4.2,4.2
14236.0,7.0,3.0,3.0,1.0,95.3,40.099999999999994,48.8,6.4
14238.0,3.0,0.0,1.0,2.0,64.6,0.0,23.5,41.1
14241.0,6.0,0.0,2.0,4.0,125.69999999999999,0.0,65.8,59.900000000000006
14245.0,3.0,1.0,1.0,1.0,24.5,7.3,8.6,8.6
14246.0,1.0,0.0,0.0,1.0,12.9,0.0,0.0,12.9
14247.0,0.4860000000000001,0.0,0.4860000000000001,0.0,21.189999999999998,0.0,21.189999999999998,0.0
14249.0,2.0,0.0,2.0,0.0,22.5,0.0,22.5,0.0
14251.0,4.0,3.0,1.0,0.0,34.8,19.9,14.9,0.0
14258.0,9.0,1.0,4.0,4.0,55.3,6.3,13.399999999999999,35.6
14261.0,4.0,0.0,0.0,4.0,32.3,0.0,0.0,32.3
14265.0,39.0,10.0,9.0,20.0,144.5,40.2,36.099999999999994,68.2
14267.0,10.0,7.0,0.0,3.0,107.19999999999999,74.3,0.0,32.900000000000006
14268.0,10.0,3.0,0.0,7.0,164.10000000000002,46.2,0.0,117.9
14279.0,8.0,2.0,4.0,2.0,47.99999999999999,16.4,22.6,9.0
14281.0,26.0,14.0,4.0,8.0,115.50000000000006,64.1,17.9,33.49999999999999
14284.0,1.0,0.0,1.0,0.0,38.0,0.0,38.0,0.0
14291.0,7.0,4.0,3.0,0.0,62.4,27.000000000000004,35.4,0.0
14293.0,6.0,3.0,2.0,1.0,70.3,36.6,20.8,12.9
14301.0,10.0,4.0,6.0,0.0,56.8,22.7,34.1,0.0
14306.0,1.0,0.0,1.0,0.0,22.8,0.0,22.8,0.0
14307.0,2.0,0.0,2.0,0.0,23.8,0.0,23.8,0.0
14313.0,44.0,29.0,10.0,5.0,317.90000000000003,157.39999999999998,85.1,75.4
14314.0,3.0,2.0,0.0,1.0,10.6,6.6,0.0,4.0
14315.0,1.0,0.0,1.0,0.0,33.0,0.0,33.0,0.0
14318.0,4.0,1.0,3.0,0.0,10.700000000000001,3.5,7.199999999999999,0.0
14319.0,16.0,6.0,6.0,4.0,106.69000000000001,41.0,37.989999999999995,27.700000000000003
14321.0,3.0,1.0,1.0,1.0,20.1,7.8,7.8,4.5
14322.0,50.0,13.0,9.0,28.0,414.69999999999993,185.5,80.30000000000001,148.89999999999998
14328.0,1.0,0.0,1.0,0.0,18.9,0.0,18.9,0.0
14330.0,371.0,353.0,6.0,12.0,813.0999999999998,708.2999999999998,36.800000000000004,68.0
14331.0,7.0,0.0,3.0,4.0,34.1,0.0,12.899999999999999,21.200000000000003
14333.0,27.0,13.0,10.0,4.0,73.49,39.38999999999999,26.9,7.2
14338.0,39.0,13.0,11.0,15.0,89.93999999999998,34.17,17.290000000000003,38.48
14341.0,6.0,1.0,5.0,0.0,79.2,6.0,73.2,0.0
14344.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,20.0
14345.0,7.0,1.0,4.0,2.0,202.0,24.9,137.5,39.6
14346.0,3.0,1.0,2.0,0.0,159.9,35.0,124.9,0.0
14350.0,17.378,3.0,6.856,7.522,98.09000000000002,11.5,46.14,40.45
14353.0,1.0,0.0,1.0,0.0,13.8,0.0,13.8,0.0
14354.0,14.0,5.0,5.0,4.0,582.5999999999999,239.4,237.10000000000002,106.1
14355.0,11.0,0.0,7.0,4.0,63.5,0.0,48.5,15.0
14356.0,13.0,6.0,6.0,1.0,21.400000000000002,6.0,14.399999999999999,1.0
14357.0,11.0,6.0,5.0,0.0,27.8,17.8,10.0,0.0
14362.0,34.0,13.0,5.0,16.0,140.0,38.5,32.9,68.59999999999998
14366.0,50.0,16.0,20.0,14.0,690.1899999999999,203.70000000000005,314.3,172.19
14372.0,18.078,9.078,2.0,7.0,306.63,250.73000000000002,9.4,46.49999999999999
14376.0,1.0,1.0,0.0,0.0,15.0,15.0,0.0,0.0
14377.0,1.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0
14386.0,13.0,2.0,5.0,6.0,193.10000000000002,40.0,104.3,48.8
14393.0,3.0,2.0,0.0,1.0,10.1,6.6,0.0,3.5
14395.0,5.0,0.0,5.0,0.0,74.0,0.0,74.0,0.0
14396.0,5.0,1.0,1.0,3.0,28.699999999999996,8.5,4.9,15.3
14404.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0
14408.0,2.0,1.0,0.0,1.0,17.5,4.0,0.0,13.5
14418.0,1.0,0.0,1.0,0.0,3.8,0.0,3.8,0.0
14420.0,1.0,1.0,0.0,0.0,6.3,6.3,0.0,0.0
14421.0,4.0,1.0,1.0,2.0,47.2,11.8,11.8,23.6
14423.0,1.0,0.0,1.0,0.0,38.0,0.0,38.0,0.0
14425.0,2.0,1.0,0.0,1.0,13.0,6.5,0.0,6.5
14431.0,7.0,2.0,3.0,2.0,55.6,7.6,28.799999999999997,19.2
14435.0,8.0,1.0,1.0,6.0,132.79999999999998,16.6,16.6,99.6
14436.0,3.0,2.0,1.0,0.0,47.8,43.8,4.0,0.0
14440.0,8.0,0.0,3.0,5.0,36.2,0.0,14.6,21.6
14442.0,51.0,15.0,21.0,15.0,366.6899999999997,131.09000000000003,161.30000000000004,74.3
14443.0,6.0,2.0,4.0,0.0,29.700000000000003,10.4,19.3,0.0
14444.0,10.0,5.0,2.0,3.0,45.0,22.5,9.0,13.5
