i,i_count_all,i_count_2,i_count_3,i_count_4,i_amount_all,i_amount_2,i_amount_3,i_amount_4
10153004,1.0,1.0,0.0,0.0,6.8,6.8,0.0,0.0
10200003,2.0,0.0,2.0,0.0,7.6,0.0,7.6,0.0
10200004,2.0,0.0,2.0,0.0,7.6,0.0,7.6,0.0
10200006,2.0,0.0,2.0,0.0,7.6,0.0,7.6,0.0
10200011,1.0,0.0,1.0,0.0,4.5,0.0,4.5,0.0
10200012,1.0,0.0,1.0,0.0,3.8,0.0,3.8,0.0
10200019,1.0,0.0,0.0,1.0,5.0,0.0,0.0,5.0
10200021,2.0,2.0,0.0,0.0,6.4,6.4,0.0,0.0
10200025,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0
10200034,1.0,0.0,1.0,0.0,7.9,0.0,7.9,0.0
10200035,1.0,1.0,0.0,0.0,7.9,7.9,0.0,0.0
10200036,2.0,0.0,2.0,0.0,15.8,0.0,15.8,0.0
10200038,1.0,0.0,1.0,0.0,7.9,0.0,7.9,0.0
10200040,1.0,0.0,1.0,0.0,6.8,0.0,6.8,0.0
10200042,1.0,1.0,0.0,0.0,6.8,6.8,0.0,0.0
10201000,2.0,2.0,0.0,0.0,23.6,23.6,0.0,0.0
10201001,2.0,0.0,0.0,2.0,11.0,0.0,0.0,11.0
10201004,1.0,1.0,0.0,0.0,11.9,11.9,0.0,0.0
10201006,20.0,0.0,0.0,20.0,80.0,0.0,0.0,80.0
10201007,9.0,3.0,3.0,3.0,33.21,11.07,11.07,11.07
10201010,1.0,0.0,1.0,0.0,4.4,0.0,4.4,0.0
10201014,6.0,5.0,1.0,0.0,24.0,20.0,4.0,0.0
10201015,2.0,1.0,0.0,1.0,25.8,12.9,0.0,12.9
10201016,26.0,10.0,4.0,12.0,95.6,40.0,16.0,39.6
10201021,1.0,1.0,0.0,0.0,9.9,9.9,0.0,0.0
10201022,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0
10201023,1.0,0.0,1.0,0.0,4.5,0.0,4.5,0.0
10201029,24.0,24.0,0.0,0.0,64.8,64.8,0.0,0.0
10201030,10.0,3.0,4.0,3.0,41.00000000000001,12.299999999999999,16.4,12.299999999999999
10202001,1.0,0.0,1.0,0.0,5.5,0.0,5.5,0.0
10300011,2.0,2.0,0.0,0.0,7.0,7.0,0.0,0.0
10300019,9.0,0.0,0.0,9.0,36.0,0.0,0.0,36.0
10300021,1.0,0.0,0.0,1.0,2.5,0.0,0.0,2.5
10300026,2.0,2.0,0.0,0.0,15.8,15.8,0.0,0.0
10300030,6.0,6.0,0.0,0.0,36.0,36.0,0.0,0.0
10300037,2.0,0.0,0.0,2.0,14.0,0.0,0.0,14.0
10300042,26.0,24.0,0.0,2.0,104.0,96.0,0.0,8.0
10300043,2.0,2.0,0.0,0.0,12.0,12.0,0.0,0.0
10300044,2.0,2.0,0.0,0.0,9.0,9.0,0.0,0.0
10300052,2.0,0.0,2.0,0.0,11.0,0.0,11.0,0.0
10300070,1.0,1.0,0.0,0.0,108.0,108.0,0.0,0.0
10309001,6.0,3.0,3.0,0.0,19.8,9.899999999999999,9.899999999999999,0.0
10310001,1.0,0.0,1.0,0.0,9.8,0.0,9.8,0.0
10310021,2.0,0.0,0.0,2.0,15.8,0.0,0.0,15.8
10312012,3.0,0.0,0.0,3.0,23.700000000000003,0.0,0.0,23.700000000000003
10319004,1.0,0.0,0.0,1.0,9.9,0.0,0.0,9.9
10400226,4.0,4.0,0.0,0.0,300.0,300.0,0.0,0.0
10401008,1.0,1.0,0.0,0.0,1.5,1.5,0.0,0.0
10401025,2.0,2.0,0.0,0.0,11.2,11.2,0.0,0.0
10401036,1.0,0.0,0.0,1.0,129.0,0.0,0.0,129.0
10401038,1.0,0.0,0.0,1.0,198.0,0.0,0.0,198.0
10401051,6.0,6.0,0.0,0.0,94.8,94.8,0.0,0.0
10401060,3.0,3.0,0.0,0.0,45.0,45.0,0.0,0.0
10401072,1.0,0.0,0.0,1.0,9.8,0.0,0.0,9.8
10410004,1.0,1.0,0.0,0.0,7.5,7.5,0.0,0.0
10410006,1.0,0.0,1.0,0.0,7.9,0.0,7.9,0.0
10411002,1.0,0.0,1.0,0.0,22.5,0.0,22.5,0.0
10420015,2.0,2.0,0.0,0.0,150.0,150.0,0.0,0.0
10420016,3.0,2.0,0.0,1.0,264.0,176.0,0.0,88.0
10420017,2.0,2.0,0.0,0.0,176.0,176.0,0.0,0.0
10421006,1.0,0.0,1.0,0.0,22.5,0.0,22.5,0.0
10421012,2.0,2.0,0.0,0.0,21.0,21.0,0.0,0.0
10421016,2.0,2.0,0.0,0.0,70.0,70.0,0.0,0.0
10421024,1.0,1.0,0.0,0.0,47.0,47.0,0.0,0.0
10422008,1.0,0.0,1.0,0.0,4.9,0.0,4.9,0.0
10422010,1.0,1.0,0.0,0.0,3.9,3.9,0.0,0.0
10422011,1.0,0.0,0.0,1.0,14.8,0.0,0.0,14.8
10422012,3.0,3.0,0.0,0.0,17.4,17.4,0.0,0.0
10435002,1.0,1.0,0.0,0.0,13.0,13.0,0.0,0.0
10435004,2.0,2.0,0.0,0.0,26.0,26.0,0.0,0.0
10435007,1.0,1.0,0.0,0.0,13.0,13.0,0.0,0.0
10435024,1.0,0.0,0.0,1.0,9.5,0.0,0.0,9.5
10435031,3.0,2.0,0.0,1.0,28.5,19.0,0.0,9.5
10435034,1.0,0.0,0.0,1.0,9.5,0.0,0.0,9.5
10435036,3.0,0.0,3.0,0.0,38.5,0.0,38.5,0.0
10435037,1.0,0.0,0.0,1.0,9.5,0.0,0.0,9.5
10435040,4.0,4.0,0.0,0.0,119.9,119.9,0.0,0.0
10439017,1.0,0.0,0.0,1.0,26.0,0.0,0.0,26.0
10439019,2.0,2.0,0.0,0.0,296.0,296.0,0.0,0.0
10440002,2.0,2.0,0.0,0.0,146.0,146.0,0.0,0.0
10440005,1.0,1.0,0.0,0.0,158.0,158.0,0.0,0.0
10440006,1.0,0.0,1.0,0.0,68.0,0.0,68.0,0.0
10440036,1.0,1.0,0.0,0.0,138.0,138.0,0.0,0.0
10440048,1.0,0.0,1.0,0.0,125.0,0.0,125.0,0.0
10441009,1.0,1.0,0.0,0.0,48.0,48.0,0.0,0.0
10441013,1.0,1.0,0.0,0.0,28.0,28.0,0.0,0.0
10441014,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0
10441016,1.0,0.0,0.0,1.0,58.0,0.0,0.0,58.0
10443004,1.0,1.0,0.0,0.0,316.0,316.0,0.0,0.0
10450004,1.0,1.0,0.0,0.0,99.0,99.0,0.0,0.0
10454002,1.0,1.0,0.0,0.0,36.6,36.6,0.0,0.0
10454005,1.0,0.0,0.0,1.0,168.0,0.0,0.0,168.0
10454006,1.0,1.0,0.0,0.0,59.0,59.0,0.0,0.0
10501053,1.0,0.0,1.0,0.0,17.0,0.0,17.0,0.0
10501054,14.0,0.0,0.0,14.0,308.0,0.0,0.0,308.0
10501076,10.0,10.0,0.0,0.0,140.0,140.0,0.0,0.0
10501079,30.0,10.0,0.0,20.0,570.0,190.0,0.0,380.0
10501088,2.0,2.0,0.0,0.0,32.0,32.0,0.0,0.0
10501092,1.0,0.0,0.0,1.0,23.0,0.0,0.0,23.0
10501093,2.0,0.0,1.0,1.0,48.0,0.0,24.0,24.0
10502004,1.0,0.0,1.0,0.0,11.0,0.0,11.0,0.0
10502041,2.0,0.0,0.0,2.0,20.0,0.0,0.0,20.0
10502042,3.0,0.0,3.0,0.0,36.0,0.0,36.0,0.0
10502045,1.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0
10502047,1.0,0.0,1.0,0.0,11.0,0.0,11.0,0.0
10502059,1.0,0.0,1.0,0.0,10.0,0.0,10.0,0.0
10603002,1.0,1.0,0.0,0.0,108.0,108.0,0.0,0.0
11000007,1.0,0.0,1.0,0.0,11.5,0.0,11.5,0.0
11002005,1.0,1.0,0.0,0.0,19.0,19.0,0.0,0.0
11003018,1.0,0.0,0.0,1.0,18.0,0.0,0.0,18.0
11004003,2.0,1.0,1.0,0.0,5.8,2.9,2.9,0.0
11004019,3.0,3.0,0.0,0.0,8.399999999999999,8.399999999999999,0.0,0.0
11005009,1.0,1.0,0.0,0.0,24.5,24.5,0.0,0.0
11005012,1.0,1.0,0.0,0.0,30.0,30.0,0.0,0.0
11005015,1.0,0.0,1.0,0.0,69.4,0.0,69.4,0.0
11008004,2.0,1.0,0.0,1.0,23.4,11.7,0.0,11.7
11010002,1.0,0.0,1.0,0.0,3.5,0.0,3.5,0.0
11011001,1.0,1.0,0.0,0.0,3.9,3.9,0.0,0.0
11011002,1.0,1.0,0.0,0.0,8.8,8.8,0.0,0.0
11011004,1.0,1.0,0.0,0.0,7.3,7.3,0.0,0.0
11011015,2.0,1.0,1.0,0.0,7.6,3.8,3.8,0.0
11011027,1.0,0.0,0.0,1.0,9.9,0.0,0.0,9.9
11011028,2.0,0.0,2.0,0.0,19.8,0.0,19.8,0.0
11011030,2.0,0.0,1.0,1.0,14.0,0.0,7.0,7.0
11011031,1.0,0.0,1.0,0.0,19.9,0.0,19.9,0.0
11011034,2.0,1.0,1.0,0.0,19.6,9.8,9.8,0.0
11011035,1.0,1.0,0.0,0.0,18.8,18.8,0.0,0.0
11011036,1.0,0.0,1.0,0.0,6.1,0.0,6.1,0.0
11011037,1.0,1.0,0.0,0.0,4.8,4.8,0.0,0.0
11020004,1.0,0.0,0.0,1.0,29.8,0.0,0.0,29.8
11020005,1.0,1.0,0.0,0.0,20.9,20.9,0.0,0.0
11020018,1.0,1.0,0.0,0.0,31.9,31.9,0.0,0.0
11020021,1.0,1.0,0.0,0.0,10.5,10.5,0.0,0.0
11022005,1.0,0.0,1.0,0.0,29.9,0.0,29.9,0.0
11022006,1.0,0.0,1.0,0.0,29.9,0.0,29.9,0.0
11022016,1.0,0.0,0.0,1.0,3.5,0.0,0.0,3.5
11022022,3.0,3.0,0.0,0.0,15.899999999999999,15.899999999999999,0.0,0.0
11022030,3.0,1.0,1.0,1.0,29.8,9.9,9.9,10.0
11022037,1.0,1.0,0.0,0.0,14.9,14.9,0.0,0.0
11022040,1.0,0.0,1.0,0.0,4.9,0.0,4.9,0.0
11022041,1.0,1.0,0.0,0.0,9.9,9.9,0.0,0.0
11022065,2.0,0.0,0.0,2.0,31.6,0.0,0.0,31.6
11022075,1.0,1.0,0.0,0.0,14.8,14.8,0.0,0.0
11022082,1.0,0.0,1.0,0.0,12.9,0.0,12.9,0.0
11023002,1.0,1.0,0.0,0.0,23.6,23.6,0.0,0.0
11030003,1.0,0.0,0.0,1.0,8.0,0.0,0.0,8.0
11030004,1.0,0.0,0.0,1.0,5.1,0.0,0.0,5.1
11034002,1.0,0.0,1.0,0.0,10.9,0.0,10.9,0.0
11044009,1.0,0.0,0.0,1.0,19.6,0.0,0.0,19.6
11046012,1.0,0.0,0.0,1.0,2.7,0.0,0.0,2.7
11052002,2.0,0.0,2.0,0.0,15.2,0.0,15.2,0.0
