c,c_i_agg_count_unique_max,c_i_agg_count_unique_median,c_i_agg_count_unique_mean,c_i_agg_count_unique_std
14924,2,0,0.6666666666666666,0.9428090415820634
14926,1,0,0.3333333333333333,0.4714045207910317
14932,1,0,0.3333333333333333,0.4714045207910317
14940,1,0,0.3333333333333333,0.4714045207910317
14943,1,1,0.6666666666666666,0.4714045207910317
14956,2,1,1.0,0.816496580927726
15000,8,7,5.0,3.559026084010437
15001,1,1,0.6666666666666666,0.4714045207910317
15002,1,0,0.3333333333333333,0.4714045207910317
15004,20,20,13.333333333333334,9.428090415820634
15005,1,0,0.3333333333333333,0.4714045207910317
15012,1,0,0.3333333333333333,0.4714045207910317
15021,3,0,1.0,1.4142135623730951
15022,1,0,0.3333333333333333,0.4714045207910317
15029,4,0,1.3333333333333333,1.8856180831641267
15100,1,0,0.3333333333333333,0.4714045207910317
15101,1,1,0.6666666666666666,0.4714045207910317
15103,1,0,0.3333333333333333,0.4714045207910317
15104,4,4,2.6666666666666665,1.8856180831641267
15105,1,1,0.6666666666666666,0.4714045207910317
15110,41,34,25.0,17.90716802475106
15111,5,4,3.0,2.160246899469287
15112,1,0,0.3333333333333333,0.4714045207910317
15113,3,2,1.6666666666666667,1.247219128924647
15114,12,11,7.666666666666667,5.436502143433364
15115,18,13,10.333333333333334,7.586537784494029
15116,3,3,2.0,1.4142135623730951
15119,4,3,2.3333333333333335,1.699673171197595
15120,6,6,4.0,2.8284271247461903
15121,3,0,1.0,1.4142135623730951
15130,13,11,8.0,5.715476066494082
15131,2,0,0.6666666666666666,0.9428090415820634
15139,4,3,2.3333333333333335,1.699673171197595
15140,7,4,3.6666666666666665,2.8674417556808756
15149,5,4,3.0,2.160246899469287
15200,6,5,3.6666666666666665,2.6246692913372702
15201,3,0,1.0,1.4142135623730951
15202,14,14,9.333333333333334,6.599663291074444
15209,2,1,1.0,0.816496580927726
15212,1,0,0.3333333333333333,0.4714045207910317
15219,1,0,0.3333333333333333,0.4714045207910317
15230,3,3,2.0,1.4142135623730951
15231,5,4,3.0,2.160246899469287
15232,2,2,1.3333333333333333,0.9428090415820634
15235,1,1,0.6666666666666666,0.4714045207910317
15240,4,1,1.6666666666666667,1.699673171197595
15241,1,0,0.3333333333333333,0.4714045207910317
15242,7,5,4.0,2.943920288775949
15243,1,0,0.3333333333333333,0.4714045207910317
15249,1,0,0.3333333333333333,0.4714045207910317
15250,3,1,1.3333333333333333,1.247219128924647
15261,1,0,0.3333333333333333,0.4714045207910317
15262,2,0,0.6666666666666666,0.9428090415820634
