i,i_agg_user_max,i_agg_user_max_median,i_agg_user_max_mean,i_agg_user_max_std
11222045,1,1,0.67,0.47
11230027,1,0,0.33,0.47
11230031,1,0,0.33,0.47
11230052,1,1,0.67,0.47
11230058,1,0,0.33,0.47
11230063,1,0,0.33,0.47
11230070,1,1,0.67,0.47
11230110,1,0,0.33,0.47
11230118,1,1,0.67,0.47
11230132,1,0,0.33,0.47
11230136,1,0,0.33,0.47
11230157,1,0,0.33,0.47
11230174,1,0,0.33,0.47
11230201,1,1,0.67,0.47
11230215,1,0,0.33,0.47
11230248,1,0,0.33,0.47
11230251,1,0,0.33,0.47
11231075,1,0,0.33,0.47
11231094,1,0,0.33,0.47
11231114,1,0,0.33,0.47
11231115,1,0,0.33,0.47
11231124,1,0,0.33,0.47
11231150,1,1,0.67,0.47
11231152,1,0,0.33,0.47
11231196,1,0,0.33,0.47
11232012,1,0,0.33,0.47
11233005,1,0,0.33,0.47
11233039,1,0,0.33,0.47
11233041,1,0,0.33,0.47
11233047,1,0,0.33,0.47
11233081,1,0,0.33,0.47
11233087,1,0,0.33,0.47
11233093,1,0,0.33,0.47
11233104,1,0,0.33,0.47
11233132,1,0,0.33,0.47
11234015,1,0,0.33,0.47
11240006,2,0,0.67,0.94
11240007,1,1,0.67,0.47
11240017,2,0,0.67,0.94
11240023,1,0,0.33,0.47
11241015,1,0,0.33,0.47
11241024,1,0,0.33,0.47
11241028,2,0,0.67,0.94
11241042,1,0,0.33,0.47
11241054,1,0,0.33,0.47
11300020,1,0,0.33,0.47
11300045,1,0,0.33,0.47
11300051,1,0,0.33,0.47
11300054,1,1,0.67,0.47
11300060,2,1,1.0,0.82
11300066,1,0,0.33,0.47
11300067,1,0,0.33,0.47
11300068,1,0,0.33,0.47
11300080,1,0,0.33,0.47
11300085,1,0,0.33,0.47
11300092,1,0,0.33,0.47
11300099,1,0,0.33,0.47
11300119,2,1,1.0,0.82
11300121,1,0,0.33,0.47
11300130,1,0,0.33,0.47
11300140,1,0,0.33,0.47
11300155,1,0,0.33,0.47
11300157,1,1,0.67,0.47
11300165,1,0,0.33,0.47
11300168,1,0,0.33,0.47
11300172,1,0,0.33,0.47
11300173,1,0,0.33,0.47
11300179,1,0,0.33,0.47
11300180,1,1,0.67,0.47
11300191,2,1,1.0,0.82
11300196,1,0,0.33,0.47
11300206,6,2,2.67,2.49
11301003,1,0,0.33,0.47
11301004,1,1,0.67,0.47
11301015,1,0,0.33,0.47
11301030,1,0,0.33,0.47
11301048,1,0,0.33,0.47
11301056,1,0,0.33,0.47
11301061,1,0,0.33,0.47
11301076,1,0,0.33,0.47
11301086,1,0,0.33,0.47
11301089,2,1,1.0,0.82
11301093,1,0,0.33,0.47
11301094,1,0,0.33,0.47
11301096,1,0,0.33,0.47
11301110,1,0,0.33,0.47
11301187,1,0,0.33,0.47
11302007,1,1,1.0,0.0
11302010,1,0,0.33,0.47
11302017,1,0,0.33,0.47
11302021,1,0,0.33,0.47
11302034,1,0,0.33,0.47
11303013,1,0,0.33,0.47
11303034,1,0,0.33,0.47
11303037,1,0,0.33,0.47
11303048,1,0,0.33,0.47
11303049,1,1,0.67,0.47
11303050,1,0,0.33,0.47
11303051,1,1,0.67,0.47
11303054,1,0,0.33,0.47
11303060,1,0,0.33,0.47
11303070,1,0,0.33,0.47
11303075,1,0,0.33,0.47
11303078,1,0,0.33,0.47
11303081,1,1,0.67,0.47
11303084,1,1,0.67,0.47
11303089,1,1,0.67,0.47
11303095,1,0,0.33,0.47
11303097,2,1,1.0,0.82
11303098,1,0,0.33,0.47
11303099,1,0,0.33,0.47
11303101,1,0,0.33,0.47
11303105,1,1,0.67,0.47
11303109,1,0,0.33,0.47
11303111,1,0,0.33,0.47
11303112,1,0,0.33,0.47
11303131,1,1,0.67,0.47
11303132,1,0,0.33,0.47
11303133,1,0,0.33,0.47
11303134,1,0,0.33,0.47
11303161,1,0,0.33,0.47
