i,i_user_agg_count_mean,i_user_agg_count_std,i_user_agg_count_max,i_user_agg_count_median,i_user_agg_amount_mean,i_user_agg_amount_std,i_user_agg_amount_max,i_user_agg_amount_median
15110079,1.0,0.0,1,1,12.8,0.0,12.8,12.8
15110080,1.89,1.29,5,1,39.47,36.25,118.4,14.8
15110082,1.0,0.0,1,1,10.83,3.06,13.0,13.0
15110083,1.0,0.0,1,1,11.8,0.0,11.8,11.8
15110084,1.0,0.0,1,1,7.5,0.0,7.5,7.5
15111001,1.0,0.0,1,1,9.15,0.43,9.9,8.9
15111002,1.25,0.43,2,1,9.88,3.42,15.8,7.9
15111003,1.0,0.0,1,1,14.9,0.0,14.9,14.9
15111004,1.5,0.5,2,2,13.35,4.45,17.8,17.8
15111010,1.0,0.0,1,1,4.5,0.0,4.5,4.5
15111011,1.0,0.0,1,1,15.9,0.0,15.9,15.9
15111012,1.0,0.0,1,1,17.8,0.0,17.8,17.8
15112000,1.33,0.47,2,1,17.8,0.0,17.8,17.8
15113000,1.0,0.0,1,1,15.75,2.78,16.8,16.8
15113001,1.0,0.0,1,1,10.9,0.0,10.9,10.9
15113004,1.33,0.47,2,1,21.6,7.64,32.4,16.2
15114000,1.14,0.35,2,1,7.43,3.98,14.4,6.4
15114001,2.0,0.0,2,2,7.0,0.0,7.0,7.0
15114003,1.0,0.0,1,1,7.5,0.0,7.5,7.5
15114004,2.0,0.0,2,2,10.2,0.0,10.2,10.2
15114005,1.0,0.0,1,1,5.1,0.0,5.1,5.1
15114006,1.0,0.0,1,1,4.4,2.2,6.6,6.6
15114010,1.11,0.31,2,1,23.09,11.45,49.5,19.8
15114013,1.27,0.45,2,1,6.55,2.58,9.0,7.5
15114014,1.0,0.0,1,1,9.5,0.0,9.5,9.5
15114015,1.53,0.78,3,1,22.89,28.23,131.6,11.2
15114031,1.0,0.0,1,1,9.5,2.69,11.4,11.4
15114032,1.0,0.0,1,1,6.9,0.0,6.9,6.9
15114033,2.33,1.25,4,2,6.98,3.73,11.96,5.98
15114036,1.0,0.0,1,1,9.75,3.25,13.0,13.0
15115000,1.0,0.0,1,1,3.9,0.0,3.9,3.9
15115001,1.5,0.76,3,1,5.85,2.98,11.7,3.9
15115002,1.5,0.5,2,2,23.62,8.64,36.0,27.0
15115003,2.08,1.77,7,1,15.4,8.78,34.3,18.0
15115007,2.0,0.0,2,2,17.8,0.0,17.8,17.8
15115008,1.0,0.0,1,1,8.9,0.0,8.9,8.9
15115009,1.33,0.47,2,1,37.07,13.11,55.6,27.8
15115010,1.0,0.0,1,1,13.9,0.0,13.9,13.9
15115014,1.0,0.0,1,1,18.0,0.0,18.0,18.0
15115015,1.0,0.0,1,1,8.9,0.0,8.9,8.9
15115026,2.0,0.0,2,2,27.6,0.0,27.6,27.6
15115027,1.0,0.0,1,1,19.8,0.0,19.8,19.8
15115028,2.0,0.0,2,2,17.0,0.0,17.0,17.0
15115030,2.5,1.5,4,4,23.0,13.8,36.8,36.8
